場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),総合係数
6,06_5,15,4,ティーナ,4.35,41.58,0.534,E,77.9,1.06353,1.02944,,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.49502,E,0.534
6,06_5,15,5,ターンザテーブルス,4.58,43.77,0.562,E,77.9,1.04689,1.15655,A,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.47118,E,0.562
6,06_5,15,6,ダノンケリー,12.45,118.94,1.527,SS,77.9,1.1942,1.1187,A,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.16039,S,1.527
6,06_5,15,7,グンバイ,10.12,96.69,1.241,S,77.9,1.07316,1.04659,D,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.05699,B,1.06153,B,1.241
6,06_5,15,8,サンプレクス,7.55,72.12,0.926,D,77.9,1.13116,0.95296,D,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.965,,0.90368,D,0.926
6,06_5,15,9,チャリティチャリス,7.81,74.6,0.958,D,77.9,0.9974,1.0473,D,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.87861,D,1.05946,B,0.958
6,06_5,15,10,ヤジロベエバランス,2.18,20.87,0.268,E,77.9,1.08337,1.03073,,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.00955,,0.24124,E,0.268
6,06_5,15,11,ジンカイト,11.72,111.94,1.437,SS,77.9,1.15811,1.02709,,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.14832,A,1.06819,B,1.437
6,06_5,15,12,カムオンオーバー,3.99,38.08,0.489,E,77.9,1.19524,0.46926,E,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.08386,B,0.81636,E,0.489
6,06_5,15,13,オラロア,4.42,42.25,0.542,E,77.9,1.11679,0.47006,E,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.08735,B,0.96482,,0.542
6,06_5,15,14,ドロワ,10.03,95.82,1.23,S,77.9,1.09906,1.04237,D,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.97691,,1.11587,A,1.23
6,06_5,15,15,トリトマフロックス,4.78,45.65,0.586,E,77.9,1.07563,1.06515,B,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.51935,E,0.586
6,06_5,15,16,スピニンググローブ,7.23,69.05,0.886,D,77.9,1.16976,1.03548,,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.74299,E,0.886
6,06_6,23,1,テイラーテソーロ,6.73,31.75,0.481,E,66.0,1.0,1.11187,A,1.019,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.43544,E,0.97519,,0.481
