場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),調教師,(判定),総合係数
10,10_6,7,5,ジャーナーリア,5.63,30.64,0.489,E,62.0,1.0,0.76311,E,1.018,0.687,E,1.0,0.881,D,1.0,1.0,,1.0,,1.0,,1.03934,,1.01225,,0.489
10,10_6,7,6,メイショウルーク,7.66,41.65,0.778,E,49.0,1.0,0.89541,D,1.018,1.0,,1.0,0.909,D,1.0,1.0,,1.0,,0.93881,D,1.0,,1.09211,B,0.778
10,10_6,7,7,ロードアマルフィ,25.08,136.42,1.522,SS,74.0,1.0,0.8964,D,1.018,1.159,A,1.197,1.0,S,1.0,1.0,,1.0,,1.0,,1.20212,S,1.21182,S,1.522
10,10_6,7,8,ブラックレジェンド,5.21,28.32,0.471,E,65.0,1.0,0.72055,E,1.018,0.741,E,1.0,0.867,E,1.0,1.0,,1.0,,1.00782,,0.99137,,0.92504,D,0.471
10,10_6,7,9,アニマレイ,4.39,23.88,0.498,E,70.0,1.0,0.7088,E,1.018,0.651,E,1.0,0.912,D,1.0,1.0,,1.0,,1.11772,A,1.04027,D,0.68469,E,0.498
10,10_6,7,10,ハッピーブルー,12.46,67.76,0.774,E,71.0,1.0,0.81232,E,1.018,1.0,,1.0,0.897,D,1.0,1.0,,1.0,,1.0,,1.04321,D,1.23341,S,0.774
10,10_6,7,11,カレンショー,3.67,19.94,0.442,E,57.0,1.0,0.92111,D,1.018,0.582,E,1.0,0.734,E,1.0,1.0,,1.0,,1.22087,S,0.90287,D,0.79237,E,0.442
10,10_7,7,1,リアライズパリオ,5.14,50.7,0.82,E,54.0,1.0,1.22887,S,1.018,0.643,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.01948,,1.14513,A,0.82
10,10_7,7,2,レイワノキセキ,4.75,46.9,0.596,E,75.0,1.0,0.89054,D,1.018,0.595,E,1.0,1.0,,1.0,1.0,,1.0,,1.10924,A,0.99622,,1.04836,D,0.596
10,10_7,7,3,ウインシャリーフ,5.51,54.39,0.966,,59.0,1.0,1.02961,,1.018,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.92124,D,0.95459,D,0.966
