場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),総合係数
6,06_6,23,12,ブレットフライ,3.48,33.14,0.454,E,73.0,1.0,0.68871,E,1.038,0.588,E,1.0,1.0,,1.0,1.0,,1.0,,1.02841,,1.05012,B,0.454
6,06_6,23,13,エポカリーナ,4.58,43.63,0.642,E,68.0,1.0,0.99689,,1.038,0.61,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.01728,,0.642
6,06_6,23,14,ホークライト,29.32,279.52,3.327,SS,84.0,1.0,1.0275,,1.038,1.602,SS,1.213,1.0,S,1.0,1.0,,1.0,,1.14043,A,1.40749,SS,3.327
6,06_7,43,1,ヴァリディシームス,9.7,152.95,1.888,SS,81.0,1.0,1.04964,D,1.028,1.197,S,1.0,1.0,,1.0,1.0,,1.0,,1.1649,S,1.2551,SS,1.888
6,06_7,43,2,オールマイデイズ,6.75,106.41,1.042,D,102.0,1.0,0.99201,,1.028,1.052,B,1.0,1.0,,1.0,1.0,,1.0,,1.14212,A,0.85073,E,1.042
6,06_7,43,3,ヴァリージア,6.72,105.96,1.115,A,95.0,1.0,1.2176,S,1.028,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.18169,S,1.00928,,1.115
6,06_7,43,4,オストラヴァ,10.28,162.05,1.653,SS,98.0,1.0,1.10345,A,1.028,1.134,A,1.0,1.0,,1.0,1.0,,1.0,,1.16612,S,1.10194,A,1.653
6,06_7,43,5,フィーリウス,7.32,115.39,1.177,S,98.0,1.0,1.08254,B,1.028,1.033,,1.0,1.0,,1.0,1.0,,1.0,,1.02724,,0.99647,,1.177
6,06_7,43,6,プラニスフェリオ,3.87,60.95,0.802,E,76.0,1.0,0.87741,D,1.028,0.643,E,1.0,1.0,,1.0,1.0,,1.0,,1.18808,S,1.16349,S,0.802
6,06_7,43,7,レイデラルース,5.84,92.04,0.868,E,106.0,1.0,0.93662,D,1.028,0.832,E,1.0,1.0,,1.0,1.0,,1.0,,1.05238,B,1.03007,,0.868
6,06_7,43,8,ズイウンゴサイ,4.73,74.52,0.887,D,84.0,1.0,1.09568,B,1.028,0.683,E,1.0,1.0,,1.0,1.0,,1.0,,0.95044,D,1.21373,S,0.887
6,06_7,43,9,ウインネモフィラ,3.94,62.12,0.796,E,78.0,1.0,1.01808,,1.028,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0651,B,0.95619,D,0.796
6,06_7,43,10,ウインルピナス,4.46,70.38,0.736,E,95.5,1.0,0.91296,D,1.028,0.779,E,1.0,1.0,,1.0,1.0,,1.0,,1.06299,B,0.94753,D,0.736
6,06_7,43,11,オウケンボルト,3.35,52.83,0.556,E,95.0,1.0,0.95038,D,1.028,0.703,E,1.0,1.0,,1.0,1.0,,1.0,,1.04971,D,0.77119,E,0.556
6,06_7,43,12,レッドバンデ,17.61,277.76,2.169,SS,128.0,1.0,1.23852,S,1.028,1.335,SS,1.0,1.0,,1.0,1.0,,1.0,,1.09875,B,1.16147,S,2.169
6,06_7,43,13,ブラックボイス,1.4,22.1,0.46,E,48.0,1.0,0.72597,E,1.028,0.666,E,1.0,1.0,,1.0,1.0,,1.0,,1.03753,,0.89261,D,0.46
6,06_7,43,14,マイネルフォルツァ,4.76,75.0,0.937,D,80.0,1.0,1.01599,,1.028,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.99966,,0.89766,D,0.937
6,06_7,43,15,アナレンマ,5.44,85.85,1.06,B,81.0,1.0,0.89197,D,1.028,1.078,B,1.0,1.0,,1.0,1.0,,1.0,,1.10285,A,0.97207,,1.06
6,06_7,43,16,セイウンパシュート,3.84,60.61,0.681,E,89.0,1.0,1.04095,D,1.028,0.612,E,1.0,1.0,,1.0,1.0,,1.0,,1.05274,B,0.9871,,0.681
6,06_8,43,1,リアルクィーン,7.32,63.1,0.76,E,83.0,1.0,0.73736,E,1.028,1.379,SS,1.0,1.0,,0.906,1.0,D,1.0,,0.9293,D,0.86309,E,0.76
6,06_8,43,2,カフェアローロ,3.72,32.04,0.422,E,76.0,1.0,0.81071,E,1.028,0.624,E,1.0,1.0,,0.807,1.0,E,1.0,,1.19241,S,0.84234,E,0.422
6,06_8,43,3,タイヨウフレア,4.94,42.6,0.526,E,81.0,1.0,0.92161,D,1.028,0.539,E,1.0,1.0,,0.906,1.0,D,1.0,,1.10879,A,1.0251,,0.526
6,06_8,43,4,ロフティーイデアル,3.33,28.74,0.355,E,81.0,1.0,0.7689,E,1.028,0.681,E,1.0,0.881,D,0.914,1.0,D,1.0,,0.93147,D,0.87841,D,0.355
6,06_8,43,5,ネクストダンサー,15.24,131.41,1.642,SS,80.0,1.0,1.15713,A,1.028,0.769,E,1.0,1.272,SS,0.98,1.0,,1.0,,1.14245,A,1.26039,SS,1.642
6,06_8,43,6,サツキノジョウ,7.1,61.23,0.688,E,89.0,1.0,0.84441,E,1.028,0.7,E,0.99,0.96,D,0.938,1.0,D,1.0,,1.33788,SS,0.949,D,0.688
