場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),調教師,(判定),総合係数
10,10_3,23,6,アームズクイーン,18.23,36.45,0.477,E,82.2,1.0,0.91736,D,1.019,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.47472,E,1.07418,B,0.93083,D,0.477
10,10_3,23,7,カップッチョ,2.42,4.83,0.128,E,74.0,1.0,0.41463,E,1.019,0.612,E,1.0,1.0,,1.0,1.0,,1.0,,0.98397,,0.50189,E,0.51098,E,0.128
10,10_3,23,8,ハッピービバーク,6.24,12.48,0.274,E,40.0,1.0,0.3942,E,1.019,0.544,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.25448,SS,1.13811,A,0.274
10,10_3,23,9,オコジュ,0.82,1.64,0.046,E,76.0,1.0,1.0638,B,1.019,0.709,E,1.0,1.0,,1.0,1.0,,1.0,,0.9941,,0.05977,E,0.47297,E,0.046
10,10_3,23,10,シュシュトディエス,0.88,1.76,0.098,E,83.0,1.0,0.90502,D,1.019,0.104,E,1.0,1.0,,1.0,1.0,,1.0,,0.9054,D,1.13009,A,0.217,E,0.098
10,10_3,23,11,ヒラボクカレラ,6.86,13.71,0.391,E,76.0,1.0,0.43286,E,1.019,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.92627,D,0.95653,D,0.46164,E,0.391
10,10_3,23,12,ラインパシオン,0.38,0.75,0.046,E,74.0,1.0,1.07506,B,1.019,0.036,E,1.0,1.0,,1.0,1.0,,1.0,,0.95458,D,1.21179,S,0.22314,E,0.046
10,10_3,23,13,セイルロケット,20.54,41.07,0.443,E,86.0,1.0,1.00512,,1.019,0.398,E,1.0,1.0,,1.0,1.0,,1.0,,1.11794,A,0.97275,,1.07592,B,0.443
10,10_3,23,14,ジェイエルバース,3.59,7.17,0.119,E,56.0,1.0,0.47397,E,1.019,0.544,E,0.402,1.0,E,1.0,1.0,,1.0,,1.02734,,1.09621,B,1.07758,B,0.119
10,10_5,15,1,エンプレスケー,3.82,29.42,0.971,,71.6,1.05767,1.11543,A,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.8358,E,0.42277,E,0.971
10,10_5,15,2,ポリメトリック,12.51,96.38,0.964,,71.6,1.02053,1.0142,,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.94587,D,1.0,,1.39489,SS,0.964
10,10_5,15,3,ブロンディ,2.33,17.99,0.226,E,71.6,1.06332,1.08975,B,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.37183,E,0.53344,E,1.10903,A,0.226
10,10_5,15,4,ピンクカメリア,1.02,7.89,0.258,E,71.6,1.16715,1.07776,B,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.94855,D,0.21955,E,0.42664,E,0.258
10,10_5,15,5,アクアホワイト,2.46,18.97,0.556,E,71.6,1.06769,1.07826,B,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.49003,E,0.47645,E,0.556
10,10_5,15,6,ジュエルブリス,11.67,89.94,1.195,S,71.6,1.06405,1.1187,A,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.01943,,1.05014,B,1.195
10,10_5,15,7,ヒデガミティアラ,1.12,8.61,0.604,E,71.6,1.12462,1.03502,,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0516,B,0.50072,E,0.1991,E,0.604
10,10_5,15,8,ドゥボヌール,10.29,79.32,1.196,S,71.6,1.18378,1.04075,D,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.11108,A,0.88728,D,0.92531,D,1.196
10,10_5,15,9,ラヴエナストロ,14.46,111.45,1.311,SS,71.6,1.01823,1.06938,B,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.22209,S,1.18664,S,1.311
10,10_5,15,10,ファーヴニル,2.76,21.27,0.275,E,71.6,1.0429,0.97351,,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0233,,0.26839,E,1.08088,B,0.275
10,10_5,15,11,レイナデルアイレ,3.91,30.15,0.398,E,71.6,1.03891,1.06786,B,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.35834,E,1.0161,,1.0577,B,0.398
10,10_5,15,12,ジューンオアシス,1.04,8.03,1.068,B,71.6,1.08549,1.07824,B,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.88964,D,1.04091,D,0.10499,E,1.068
